new_number,news_text,category,cat-l3
NID_2023-01-19-17_9205,Vorsicht Legionellen Wie Vermieter vorsorgen und was Miete tun können der hoch Energiepreise zwingen viel Mensch zu der spare Heizung runter drehen und weniger und kürz Dusch vielleicht der Warmwassertemperatur in der Speicher etwas absenk doch werden an der falsch Stelle spart gefährden sein Gesundheit fließt der Wasser nicht bilden er|es|sie schnell gefährlich Bakterie,klima,klima
NID_2023-01-19-20_8799,unser Nachbar der Dealer Mieter Aufstand gegen Netflix Star Shiny Flakes in der Platte gehen es weit wenig glamourös zu als er der sein Fan vorgaukeln mögen Foto Rico Thumser,netflix,netflix
NID_2023-01-20-13_4755,Kindheit und Jugend der Phase der Hasen Trotzphase Pipi Kacka Phase und natürlich der Pubertät wer Kind großzieht rutschen von ein Phase in der nah Was sein jeweils dran und wie kommen man da durch,familie,familie
NID_2023-01-20-20_4779,Kitzbühel Rückkehr der Weißwurstparty in vor Corona Modus der unendlich Weißwurstgeschichte haben an der Freitag nach zwei Jahr Party Lockdown ihr Fortsetzung finden der 30 Weißwurstparty bei der Stanglwirt in Going in der Rahmen der Hahnenkammrennen sorgen nicht für genüsslich kollektiv Weißwurstzuzeln sondern auch für der Rückkehr der bis 2020 ganz normal medial und gesellschaftlich Ausnahmezustand der Zügel dabei halten vor alle wieder ein Person virtuos in der Hand Weißwurstpartykönig Arnold Schwarzenegger,sport,sport
NID_2023-01-20-21_9183,vor Duell gegen Bochum Herthas Trainer euphorisch jetzt sein wieder Wettkampf mit der Partie Hertha gegen Bochum warten auf der Bundesliga Zuschauer ein echt Kellerduell der Berliner Cheftrainer erwarten ein hitzig Atmosphäre,sport,sport
NID_2023-01-20-21_9188,vor Urlaubssaison Mallorca warnen vor Wasserknappheit schon in der vergangen Jahr sein der Wasser knapp nun warnen der Inselverwaltung erneut vor Engpässe ein häufiges Problem Lecks in der Kanalisation,panorama,sonstiges
NID_2023-01-20-21_4578,Juventus Turin 15 Punkt Abzug hart Strafe stehen fest Italien Rekordmeister Juventus Turin müssen in der Kampf um der Europacup Platz ein schwer Schlag hinnehmen gegen der Bianconeri werden nun ein drastisch Strafe verhängen,sport,sport
NID_2023-01-20-21_3903,Handball Top Favorit ziehen in der Viertelfinale der WM ein der Top Favorite Frankreich Schweden und Spanien sein frühzeitig in der Viertelfinale der Handball Weltmeisterschaft einziehen,sport,sport
NID_2023-01-20-22_1466,Bundesliga RB Leipzig und der FC Bayern trennen er|es|sie zu der Auftakt Unentschieden der beide Top Team liefern er|es|sie zu der Rückkehr der hoch deutsch Spielklasse ein spannungsgeladen Spiel mit zwei völlig unterschiedlich Halbzeit,sport,sport
NID_2023-01-20-22_9405,wegen Bilanz Fälschung Heftiger Punktabzug für Juve Rekordmeister Juventus Turin bekommen ein Mega Strafe aufgebrummen Foto Marco Alpozzi AP,spielertransfer,sport
NID_2023-01-20-22_1192,BILDplus Inhalt Sturm Juwel unterschreiben bis 2026 spannend Detail aus der Moukoko Vertrag Moukoko unterschreiben bei der BVB bis 2026 da sein dabei sehr spannend Foto David Inderlied dpa,spielertransfer,sport
NID_2023-01-20-23_2990,FC Bayern schon wie neu der Debüt von Yann Sommer in der Protokoll der langjährig Gladbacher Schlussmann haben sein erst Spiel für der FC Bayern absolvieren und n onlin haben ganz genau hingeschauen,sport,sport
NID_2023-01-20-23_2409,Dschungelcamp Streit zwischen Cecilia Asoro und Tessa Bergmeier eskalieren seit der erst Folge können er|es|sie Cecilia Asoro und Tessa Bergmeier nicht leiden jetzt sieben Tag spät haben ihr Feindschaft der Tiefpunkt erreichen,unterhaltung,unterhaltung
NID_2023-01-21-00_2414,Dschungelcamp Zuschauer entscheiden dies Dschungel Bewohner fliegen aus der Busch für ein Teilnehmerin sein der Reise vorbei der entscheiden jetzt der Dschungelcamp Fan Foto RTL,dschungelcamp,fernsehen
NID_2023-01-21-03_6351,neun von zehn sein raus Netflix Fluch bei der Australian Open neun von zehn Profi aus ein Netflix Serie über der Tennis Tour sein schon raus Foto Lukas Coch dpa,netflix,netflix
NID_2023-01-21-04_7971,SPD machen Druck für schnell Start der 49 Euro Tickets wann kommen der bundesweit gültig 49 Euro Ticket d SPD Fraktionsvize Detlef Müller peilen ein zeitnahe Einführung an der Land und Verbund müssen mit Hochdruck an der Umsetzung arbeiten,schienenverkehr,verkehr
NID_2023-01-21-04_1083,Betroffene in Wiener Missbrauchsfall verlangen Schadenersatz ein Missbrauchsopfer ein Sportlehrer der bis zu sein Suizid in der Mai 2019 an ein Wiener Mittelschule über 40 Bube in der Alter von neun bis 14 Jahr mißbrauchen haben dürfen fordern nun von der Republik Österreich Schadenersatz in ein an der Finanzprokuratur gerichtet schreiben verlangen der ehemalig Schüler ein zumindest finanziell Wiedergutmachung für der erlitten seelisch psychisch Schaden und ein daraus resultierend Arbeitsunfähigkeit als Profi Sportler,missbrauch,kriminalitaet
NID_2023-01-21-05_8969,Verkehrsprobleme möglich Demo für Lützerath in Ulm Lützerath sein räumen der Demos sein aber noch nicht vorbei auch nicht in Ulm da finden an der kommend Samstag ein Kundgebung mit Mahnwache für Lützerath statt,klima,klima
NID_2023-01-21-07_4606,Kampfpanzer für der Ukraine der was da passieren sein ein Alptraum der Lieferung von Leopard Kampfpanzer an der Ukraine rücken nah ein Oberst a d zeigen in der Video der Problem auf und warum sie ihr Pendant sowjetisch Bauart überlegen sein,politik,politik
NID_2023-01-21-07_3728,Grand Slam Turnier alle raus bis auf ein Netflix Fluch bei Australian Open bei der Australian Open sorgen der sogenannt Netflix Fluch für Gesprächsstoff,sport,sport
NID_2023-01-21-07_3729,Grand Slam Turnier Australian Open Rune und Rubljow weit Trotz ein klein Schreckmoment haben Tennis Jungstar Holger Rune der Achtelfinale bei der Australian Open in Melbourne erreichen,sport,sport
NID_2023-01-21-07_7013,Radrennen Tour Down Under Franzose Coquard sprinten zu der Etappensieg der französisch Radprofi Bryan Coquard haben der viert Etappe der Tour Down Under für er|es|sie entscheiden,sport,sport
NID_2023-01-21-08_3730,Grand Slam Turnier Doppel Mies Peer in der Achtelfinale der Australian Open Tennis Doppelspieler Andreas Mies haben bei der erst Grand Slam Auftritt mit sein neu Partner John Peer der Achtelfinale der Australian Open erreichen,sport,sport
NID_2023-01-21-08_8904,Verbandschef über DHB Team sympathisch und nahbar Die bisherigen WM Auftritt der deutsch Handballer begeistern auch der Verbandspräsident der vor der heißen Turnierphase ein positiv Zwischenbilanz ziehen,handball,sport
NID_2023-01-21-08_8904,Verbandschef über DHB Team sympathisch und nahbar Die bisherigen WM Auftritt der deutsch Handballer begeistern auch der Verbandspräsident der vor der heißen Turnierphase ein positiv Zwischenbilanz ziehen,nationalmannschaft,sport
NID_2023-01-21-08_3922,Handball WM Verbandschef über DHB Team sympathisch und nahbar DHB Boß Andreas Michelmann haben der deutsch Handballer vor der richtungsweisend Hauptrundenspiel gegen der Niederlande ein glänzend WM Zeugnis ausstellen,sport,sport
NID_2023-01-21-08_6993,Quiz kennen Sie|sie der Hauptstadt der 16 deutsch Bundesländer Hauptstadt wissen mal anders Sie|sie denken Sie|sie kennen er|es|sie in Deutschland bestens aus dann beweisen Sie|sie es in dies Quiz,leben,leben
NID_2023-01-21-08_6992,Quiz 15 schwer Politikfrage aus der Einbürgerungstest Politik Gesetz EU mögen man ein Einbürgerungstest bestehen sollen man er|es|sie damit auskennen wir haben Sie|sie der schwierig Frage aus der offiziell Fragenkatalog zusammenstellen,panorama,sonstiges
NID_2023-01-21-08_1927,Denkmalbehörde prüfen Schutzstatus von Kapelle vor Abriß bei der geplant Abriß ein Kapelle in Augsburg entfachen er|es|sie ein Debatte darüber was Vorrang haben der Schaffung von bezahlbar Wohnraum oder der Erhaltung der Gotteshaus der Schicksal der Gebäude liegen nun auch in der Hand der Denkmalbehörde,gesellschaft,gesellschaft
NID_2023-01-21-08_1927,Denkmalbehörde prüfen Schutzstatus von Kapelle vor Abriß bei der geplant Abriß ein Kapelle in Augsburg entfachen er|es|sie ein Debatte darüber was Vorrang haben der Schaffung von bezahlbar Wohnraum oder der Erhaltung der Gotteshaus der Schicksal der Gebäude liegen nun auch in der Hand der Denkmalbehörde,kirche,kirche
NID_2023-01-21-08_661,Augsburg Trainer Maaßen Dortmunder Bellingham begeisternd Jude Bellingham bringen der Augsburger Trainer Enrico Maa 223 en in der Schw 228 rm 171 er sein ein fantastisch Fu 223 balle ein absolut Vollprofi 187 loben Maa 223 en der herausragend Mittelfeldspieler der kommend Bundesligagegners Borussia Dortmund 171 wenn man sehen wie athletisch er Fu 223 ball spielen was er f 252 r ein K 246 rper haben wie viel er unterwegs sein wie viel gut Entscheidung er treffen wie torgef 228 hrlich 8230,borussia dortmund,sport
NID_2023-01-21-08_661,Augsburg Trainer Maaßen Dortmunder Bellingham begeisternd Jude Bellingham bringen der Augsburger Trainer Enrico Maa 223 en in der Schw 228 rm 171 er sein ein fantastisch Fu 223 balle ein absolut Vollprofi 187 loben Maa 223 en der herausragend Mittelfeldspieler der kommend Bundesligagegners Borussia Dortmund 171 wenn man sehen wie athletisch er Fu 223 ball spielen was er f 252 r ein K 246 rper haben wie viel er unterwegs sein wie viel gut Entscheidung er treffen wie torgef 228 hrlich 8230,bundesliga,sport
NID_2023-01-21-08_4728,Kimmich Ansage müssen versuchen Serie zu starten Sie|sie können damit leben aber sie wissen dass mehr kommen müssen der FC Bayer wollen damit in der kommend Woche anfangen ob der neu Nummer ein dann auch wieder zu der Reklamieralarm ansetzen,bundesliga,sport
NID_2023-01-21-08_4728,Kimmich Ansage müssen versuchen Serie zu starten Sie|sie können damit leben aber sie wissen dass mehr kommen müssen der FC Bayer wollen damit in der kommend Woche anfangen ob der neu Nummer ein dann auch wieder zu der Reklamieralarm ansetzen,rb leipzig,sport
NID_2023-01-21-08_6431,Nordabfahren an der Ochsenkopf in der kommend Tag bereit für Skifahrer der Wintersaison in der Fichtelgebirge 8211 rund um der Ochsenkopf 8211 nehmen allmählich wieder an Fahrt auf nach der aktuell Schneebericht für der Region sein dies Wochenende der Lift an der Bleaml Alm in Neubau und der Fleckl Lift öffnen auch der Seilbahne an der Ochsenkopf sein in Betrieb der Pisten sein allerding wegen zu gering Schneeauflage noch sperren 8230,tourismus,tourismus
NID_2023-01-21-08_2750,ERC Ingolstadt Woche ohne verletzten Verteidiger Marshall der Personalsituation bei der ERC Ingolstadt spitzen er|es|sie weiter zu wie der Club aus der deutsch Eishockey Liga an der Samstag mitteilen f 228 llen Verteidiger Ben Marshall mindestens sechs Woche aufgrund ein Unterk 246 rperverletzung aus der Verletzung haben er|es|sie der Eishockey Profi demnach bei der Heimsieg gegen N 252 rnberg an der Mittwoch zuziehen F 252 r der Spitzenspiel an der Sonntag gegen Tabellenf 252 hr EHC Red Bull 8230,eishockey,sport
NID_2023-01-21-08_9172,von Traktor überrollt Mann bei Arbeitsunfall schwer verletzen ein Traktorfahrer sein bei ein Arbeitsunfall in Kressbronn an der Bodensee Bodenseekreis schwer verletzen werden nach Angabe der Polizei haben der 75 Jahr alt Mann an der Freitag bei eingelegt niedrig Gang der Arbeitsgerät verlassen um an ein angehängt Faß ein Ablauf zu öffnen bei der Versuch wieder auf der Traktor zu steigen geraten er der Angabe zufolge 8230,unfall,unfall
NID_2023-01-21-09_7453,Schnee und Glätte verursachen zahlreich Verkehrsunfall auf deutsch Straße auf der deutsch Straße sein es in der Nacht wegen Schnee und Glätte zu zahlreich Unfall kommen viel Auto rutschen von der Fahrbahn,panorama,sonstiges
NID_2023-01-21-09_6050,nach Räumung von Lützerath RWE fordern von Aktivist Schadenersatz werden es für der Aktivist von Lützerath noch teuer der Energiekonzern RWE haben rechtlich Schritt gegen der Demonstrant ankündigen,panorama,sonstiges
NID_2023-01-21-09_4571,Jürgen Bruhn leben in der Kloster Eberbach da erleben ich mit der Star aus Name der Rose er sein der Fahrer von Ron Perlman Christian Slater Michael Lonsdale Volker Prechtel Foto Sven Moschitz,geschichte,geschichte
NID_2023-01-21-09_6443,Norwegen Erbprinzessin sein Fallschirm sprungen ein Prinzessin zeigen Mut Ingrid Alexandra von Norwegen sein mit ein Fallschirm aus rund 600 Meter Höhe in der Tiefe gesprungen heute sein sie 19 werden,leute,leute
